match_id,team,total_shots,goals,shots_on_target
3825669,Rayo Vallecano,8,1,8
3825670,Levante UD,14,0,11
3825670,Real Betis,11,1,11
3825671,Celta Vigo,6,2,5
3825671,Sporting Gijón,8,1,7
3825672,Granada,11,2,11
3825672,Málaga,12,2,12
3825673,Las Palmas,8,0,8
3825673,RC Deportivo La Coruña,10,1,8
3825674,Atlético Madrid,21,1,20
3825674,Espanyol,4,0,4
3825675,Athletic Club,10,3,8
3825675,Rayo Vallecano,15,0,14
3825676,Getafe,12,2,11
3825676,Villarreal,7,0,4
3825677,Sevilla,16,1,14
3825678,Eibar,8,0,7
3825678,Real Madrid,17,2,16
3825679,Celta Vigo,5,1,4
3825679,Real Betis,28,1,25
3825680,RC Deportivo La Coruña,8,1,8
3825680,Sevilla,9,1,8
3825681,Getafe,7,1,7
3825681,Real Madrid,16,4,16
3825682,Atlético Madrid,13,2,12
3825682,Granada,18,0,15
3825683,Eibar,6,1,4
3825683,Real Sociedad,10,2,10
3825684,Rayo Vallecano,8,1,8
3825684,Villarreal,14,2,14
3825685,Las Palmas,12,1,12
3825685,Sporting Gijón,22,3,19
3825686,Athletic Club,11,0,9
3825686,Málaga,7,0,6
3825687,Espanyol,9,1,7
3825687,Levante UD,12,1,12
3825688,Getafe,9,1,8
3825688,Real Sociedad,10,1,8
3825689,Celta Vigo,15,1,12
3825689,Espanyol,6,0,5
3825690,Las Palmas,16,1,14
3825690,Real Betis,8,0,8
3825691,Granada,8,2,7
3825691,Levante UD,7,1,5
3825692,Sevilla,18,2,16
3825692,Sporting Gijón,4,0,4
3825693,Athletic Club,10,1,10
3825693,Atlético Madrid,8,2,8
3825694,Eibar,14,1,11
3825694,Valencia,6,1,6
3825695,Real Madrid,20,0,17
3825695,Villarreal,7,1,6
3825696,Málaga,15,2,11
3825696,Rayo Vallecano,13,1,12
3825697,Getafe,9,2,8
3825697,Valencia,12,2,12
3825698,Eibar,13,0,12
3825698,RC Deportivo La Coruña,14,2,13
3825699,Real Betis,13,0,10
3825699,Sevilla,9,0,8
3825700,Rayo Vallecano,9,2,7
3825700,Real Madrid,30,10,29
3825701,Atlético Madrid,6,0,5
3825701,Málaga,17,1,13
3825702,Real Sociedad,17,0,15
3825702,Villarreal,7,2,7
3825703,Athletic Club,19,2,17
3825703,Levante UD,6,0,6
3825704,Celta Vigo,10,2,10
3825704,Granada,11,0,10
3825705,Eibar,15,2,11
3825705,Sporting Gijón,6,0,5
3825706,Athletic Club,13,1,12
3825706,Celta Vigo,7,0,6
3825707,Granada,12,1,12
3825707,Las Palmas,7,3,7
3825708,Levante UD,7,0,5
3825708,Málaga,10,1,10
3825709,Espanyol,12,0,11
3825709,Sevilla,16,2,15
3825710,Real Madrid,23,3,23
3825710,Real Sociedad,13,1,13
3825711,Atlético Madrid,19,2,17
3825711,Rayo Vallecano,10,0,10
3825712,Getafe,14,0,12
3825712,RC Deportivo La Coruña,10,0,10
3825713,Valencia,6,0,6
3825713,Villarreal,9,1,8
3825714,Atlético Madrid,16,1,12
3825714,Levante UD,9,0,7
3825715,Celta Vigo,8,0,7
3825715,Málaga,14,2,13
3825716,Rayo Vallecano,13,2,12
3825716,Real Sociedad,15,2,15
3825717,Granada,9,2,8
3825717,Sevilla,16,1,14
3825718,Real Madrid,17,2,16
3825718,Valencia,12,2,12
3825719,Athletic Club,15,2,12
3825719,Las Palmas,12,2,11
3825720,Eibar,6,4,5
3825720,Real Betis,11,0,10
3825721,RC Deportivo La Coruña,11,1,10
3825721,Villarreal,6,2,6
3825722,Getafe,11,2,8
3825722,Sporting Gijón,17,1,15
3825723,Levante UD,10,2,9
3825723,Rayo Vallecano,10,1,10
3825724,RC Deportivo La Coruña,18,0,16
3825724,Real Madrid,23,5,22
3825725,Getafe,9,1,8
3825725,Real Betis,11,0,10
3825726,Athletic Club,12,0,10
3825726,Sevilla,4,2,4
3825727,Eibar,20,2,19
3825727,Espanyol,7,1,5
3825728,Atlético Madrid,10,2,10
3825728,Celta Vigo,6,0,6
3825729,Sporting Gijón,12,0,11
3825729,Villarreal,7,2,7
3825730,Real Sociedad,24,2,22
3825730,Valencia,10,0,7
3825731,Las Palmas,5,1,5
3825731,Málaga,11,1,11
3825732,Celta Vigo,13,4,13
3825732,Levante UD,16,3,16
3825733,Málaga,14,1,14
3825733,Sevilla,8,2,7
3825734,RC Deportivo La Coruña,7,1,7
3825734,Real Sociedad,16,1,15
3825735,Real Betis,15,0,13
3825735,Villarreal,9,0,8
3825736,Rayo Vallecano,18,2,15
3825736,Valencia,13,2,12
3825737,Espanyol,13,1,11
3825737,Getafe,19,3,14
3825738,Atlético Madrid,11,3,11
3825738,Las Palmas,11,0,11
3825739,Real Madrid,17,5,15
3825739,Sporting Gijón,9,1,7
3825740,Eibar,12,5,12
3825740,Granada,4,1,4
