match_id,team,total_pressures
3825756,Levante UD,116
3825756,Sevilla,94
3825757,Espanyol,216
3825757,Real Madrid,147
3825758,RC Deportivo La Coruña,129
3825758,Rayo Vallecano,139
3825759,Getafe,155
3825759,Málaga,172
3825760,Atlético Madrid,154
3825760,Eibar,154
3825761,Athletic Club,127
3825761,Villarreal,214
3825762,RC Deportivo La Coruña,127
3825762,Sporting Gijón,129
3825763,Las Palmas,159
3825763,Rayo Vallecano,155
3825764,Granada,222
3825764,Real Madrid,163
3825765,Celta Vigo,134
3825765,Sevilla,129
3825766,Real Betis,90
3825766,Valencia,120
3825767,Espanyol,115
3825767,Real Sociedad,183
3825768,Rayo Vallecano,130
3825768,Sporting Gijón,168
3825769,Málaga,144
3825769,Villarreal,160
3825770,Athletic Club,166
3825770,Real Madrid,143
3825771,RC Deportivo La Coruña,167
3825771,Real Betis,112
3825772,Espanyol,103
3825772,Valencia,120
3825773,Eibar,156
3825773,Levante UD,121
3825774,Atlético Madrid,213
3825774,Getafe,210
3825775,Granada,137
3825775,Real Sociedad,166
3825776,Las Palmas,139
3825776,Sevilla,147
3825777,Getafe,184
3825777,Levante UD,105
3825778,Real Betis,167
3825778,Sporting Gijón,129
3825779,Celta Vigo,95
3825779,Eibar,166
3825780,Espanyol,151
3825780,RC Deportivo La Coruña,102
3825781,Rayo Vallecano,107
3825781,Sevilla,131
3825782,Granada,126
3825782,Valencia,219
3825783,Athletic Club,137
3825783,Real Sociedad,126
3825784,Atlético Madrid,173
3825784,Villarreal,166
3825785,Málaga,128
3825785,Real Madrid,126
3825786,Eibar,159
3825786,Las Palmas,168
3825787,Atlético Madrid,218
3825787,Real Madrid,178
3825788,Celta Vigo,158
3825788,Getafe,159
3825789,Málaga,161
3825789,Real Sociedad,144
3825790,Espanyol,140
3825790,Sporting Gijón,106
3825791,Rayo Vallecano,132
3825791,Real Betis,180
3825792,Granada,148
3825792,RC Deportivo La Coruña,123
3825793,Athletic Club,130
3825793,Valencia,181
3825794,Levante UD,140
3825794,Villarreal,147
3825795,Atlético Madrid,288
3825795,Real Sociedad,222
3825796,Getafe,165
3825796,Las Palmas,101
3825797,Athletic Club,157
3825797,RC Deportivo La Coruña,192
3825798,Levante UD,153
3825798,Real Madrid,160
3825799,Málaga,159
3825799,Valencia,187
3825800,Celta Vigo,146
3825800,Villarreal,133
3825801,Eibar,166
3825801,Sevilla,128
3825802,Espanyol,160
3825802,Real Betis,165
3825803,Granada,136
3825803,Sporting Gijón,142
3825804,Málaga,145
3825804,RC Deportivo La Coruña,109
3825805,Las Palmas,185
3825805,Villarreal,140
3825806,Celta Vigo,195
3825806,Real Madrid,149
3825807,Atlético Madrid,160
3825807,Valencia,154
3825808,Athletic Club,169
3825808,Sporting Gijón,158
3825809,Granada,126
3825809,Real Betis,154
3825810,Levante UD,139
3825810,Real Sociedad,155
3825811,Espanyol,172
3825811,Rayo Vallecano,132
3825812,Málaga,118
3825812,Sporting Gijón,149
3825813,Atlético Madrid,135
3825813,RC Deportivo La Coruña,163
3825814,Celta Vigo,185
3825814,Real Sociedad,139
3825815,Levante UD,161
3825815,Valencia,167
3825816,Sevilla,146
3825816,Villarreal,123
3825817,Eibar,151
3825817,Getafe,187
3825818,Las Palmas,143
3825818,Real Sociedad,132
3825819,Celta Vigo,165
3825819,Valencia,222
3825820,Real Madrid,126
3825820,Sevilla,154
3825821,Athletic Club,149
3825821,Espanyol,153
3825822,Las Palmas,151
3825822,Valencia,328
3825823,Real Sociedad,174
3825823,Sevilla,119
3825824,Eibar,196
3825824,Villarreal,163
3825825,Levante UD,173
3825825,Sporting Gijón,105
3825826,Granada,156
3825826,Málaga,126
3825827,Levante UD,158
3825827,Real Betis,134
3825828,Atlético Madrid,86
3825828,Espanyol,161
3825829,Athletic Club,179
3825829,Rayo Vallecano,174
3825830,Getafe,181
3825830,Villarreal,63
3825831,Sevilla,153
3825831,Valencia,150
3825832,Celta Vigo,145
3825832,Sporting Gijón,205
3825833,Getafe,164
3825833,Real Madrid,103
3825834,Atlético Madrid,186
3825834,Granada,107
3825835,Athletic Club,162
3825835,Málaga,137
3825836,Rayo Vallecano,157
3825836,Villarreal,178
3825837,Las Palmas,116
3825837,Real Betis,162
3825838,Athletic Club,164
3825838,Atlético Madrid,151
3825839,Sevilla,99
3825839,Sporting Gijón,147
3825840,Eibar,176
3825840,Valencia,161
3825841,Getafe,181
3825841,Real Sociedad,153
3825842,Athletic Club,106
3825842,Levante UD,110
3825843,Málaga,145
3825843,Rayo Vallecano,184
3825844,Athletic Club,193
3825844,Real Betis,148
3825845,Espanyol,157
3825845,Sevilla,131
3825846,RC Deportivo La Coruña,147
3825846,Real Madrid,169
3825847,Eibar,243
3825847,RC Deportivo La Coruña,225
3825848,Eibar,164
3825848,Levante UD,127
3825849,Real Sociedad,181
3825849,Valencia,191
