match_id,team,total_passes,completed_passes,pass_accuracy
3825685,Las Palmas,594,491,82.66
3825685,Sporting Gijón,317,213,67.19
3825686,Athletic Club,393,275,69.97
3825686,Málaga,489,382,78.12
3825687,Espanyol,472,365,77.33
3825687,Levante UD,407,290,71.25
3825688,Getafe,375,263,70.13
3825688,Real Sociedad,603,488,80.93
3825689,Celta Vigo,466,348,74.68
3825689,Espanyol,424,295,69.58
3825690,Las Palmas,681,542,79.59
3825690,Real Betis,373,236,63.27
3825691,Granada,470,328,69.79
3825691,Levante UD,458,320,69.87
3825692,Sevilla,684,547,79.97
3825692,Sporting Gijón,280,180,64.29
3825693,Athletic Club,569,424,74.52
3825693,Atlético Madrid,506,374,73.91
3825694,Eibar,445,304,68.31
3825694,Valencia,418,291,69.62
3825695,Real Madrid,701,574,81.88
3825695,Villarreal,374,264,70.59
3825696,Málaga,401,240,59.85
3825696,Rayo Vallecano,420,272,64.76
3825697,Getafe,364,254,69.78
3825697,Valencia,570,453,79.47
3825698,Eibar,480,338,70.42
3825698,RC Deportivo La Coruña,475,338,71.16
3825699,Real Betis,343,236,68.8
3825699,Sevilla,401,273,68.08
3825700,Rayo Vallecano,501,423,84.43
3825700,Real Madrid,494,429,86.84
3825701,Atlético Madrid,390,258,66.15
3825701,Málaga,577,437,75.74
3825702,Real Sociedad,717,585,81.59
3825702,Villarreal,384,273,71.09
3825703,Athletic Club,487,348,71.46
3825703,Levante UD,425,321,75.53
3825704,Celta Vigo,460,343,74.57
3825704,Granada,451,325,72.06
3825705,Eibar,419,275,65.63
3825705,Sporting Gijón,361,212,58.73
3825706,Athletic Club,351,231,65.81
3825706,Celta Vigo,648,515,79.48
3825707,Granada,342,244,71.35
3825707,Las Palmas,570,441,77.37
3825708,Levante UD,395,252,63.8
3825708,Málaga,476,339,71.22
3825709,Espanyol,588,492,83.67
3825709,Sevilla,457,351,76.81
3825710,Real Madrid,544,442,81.25
3825710,Real Sociedad,544,461,84.74
3825711,Atlético Madrid,357,236,66.11
3825711,Rayo Vallecano,496,368,74.19
3825712,Getafe,443,318,71.78
3825712,RC Deportivo La Coruña,425,297,69.88
3825713,Valencia,438,340,77.63
3825713,Villarreal,462,363,78.57
3825714,Atlético Madrid,551,422,76.59
3825714,Levante UD,430,324,75.35
3825715,Celta Vigo,463,349,75.38
3825715,Málaga,427,308,72.13
3825716,Rayo Vallecano,355,209,58.87
3825716,Real Sociedad,423,289,68.32
3825717,Granada,309,204,66.02
3825717,Sevilla,469,351,74.84
3825718,Real Madrid,541,456,84.29
3825718,Valencia,496,415,83.67
3825719,Athletic Club,406,276,67.98
3825719,Las Palmas,592,472,79.73
3825720,Eibar,371,256,69.0
3825720,Real Betis,549,427,77.78
3825721,RC Deportivo La Coruña,540,401,74.26
3825721,Villarreal,463,332,71.71
3825722,Getafe,449,327,72.83
3825722,Sporting Gijón,384,265,69.01
3825723,Levante UD,394,246,62.44
